name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Paddlefish,North-America,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Unknown,Unknown,Zooplankton,Unknown,Unknown,Unknown,Humans,"Long, paddlelike snout","Mississippi paddlefish, spoonbill",7 days,Rivers,Carnivore,Unknown,Unknown,paddlefish,1.0,Unknown,Unknown,Unknown,GreyGreen,Smooth,Unknown,30 years,60 pounds,4.9 feet,Unknown,Unknown,Unknown,Lampreys,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,27,149
Parrotfish,Ocean,Animalia,Chordata,Actinopterygii,Labriformes,Scaridae,Unknown,scaridae,"Algae, invertebrates, and detritus",Unknown,School,unknown, Climate change and pollution, The parrot-shaped beak,none,a few days,"Coral reefs, seagrass beds, and coasts",Herbivore,Unknown,Unknown,parrotfish,Unkown,Unknown,Unknown,Unknown,RedBlueGreenOrange,Scales,Unknown,up to 20 years,Unknown,1-4 feet,Unknown,Unknown,Unknown,Sharks and eels,ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,1,0,0,Unknown,76
Pike Fish,Asia,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox,"Mostly other fish, frogs, waterfowl",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Slow moving water,Carnivore,"100,000",Unknown,Pike,Unkown,Unknown,Apex freshwater predators with fearsome teeth!,Unknown,GreyBlueBlackWhite,Smooth,Unknown,12 - 15 years,Unknown,0.5m - 1.8m (20in - 71in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Elongated body and strong jaw,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Frogs, Insects",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,6 - 8,Unknown,Unknown,1,0,0,Unknown,230
Pike Fish,Eurasia,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox,"Mostly other fish, frogs, waterfowl",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Slow moving water,Carnivore,"100,000",Unknown,Pike,Unkown,Unknown,Apex freshwater predators with fearsome teeth!,Unknown,GreyBlueBlackWhite,Smooth,Unknown,12 - 15 years,Unknown,0.5m - 1.8m (20in - 71in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Elongated body and strong jaw,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Frogs, Insects",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,6 - 8,Unknown,Unknown,1,0,0,Unknown,230
Pike Fish,Europe,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox,"Mostly other fish, frogs, waterfowl",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Slow moving water,Carnivore,"100,000",Unknown,Pike,Unkown,Unknown,Apex freshwater predators with fearsome teeth!,Unknown,GreyBlueBlackWhite,Smooth,Unknown,12 - 15 years,Unknown,0.5m - 1.8m (20in - 71in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Elongated body and strong jaw,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Frogs, Insects",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,6 - 8,Unknown,Unknown,1,0,0,Unknown,230
Pike Fish,North-America,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox,"Mostly other fish, frogs, waterfowl",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Slow moving water,Carnivore,"100,000",Unknown,Pike,Unkown,Unknown,Apex freshwater predators with fearsome teeth!,Unknown,GreyBlueBlackWhite,Smooth,Unknown,12 - 15 years,Unknown,0.5m - 1.8m (20in - 71in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Elongated body and strong jaw,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Frogs, Insects",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,6 - 8,Unknown,Unknown,1,0,0,Unknown,230
Pipefish,Ocean,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathinae,Crustaceans and plankton,Unknown,Solitary,Unknown,Habitat changes,The tube-like snout,None,2 weeks,Oceans and estuaries,Carnivore,Unknown,Unknown,Pipefish,200.0,Unknown,Unknown,Unknown,YellowRedBlueGreen,Boney Plates,Unknown,5-10 years,Less than 0.5kg (1lb),2-65cm (1-26in),Unknown,Unknown,Unknown,"Gars, perch, drums, weakfish, and bass",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4 pH,Unknown,Unknown,1,0,0,0.5,33.5
Piranha,South-America,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Unknown,Unknown,Unknown,Unknown,School,Unknown,Other animals,Strong bony jaws with finely serrated teeth,Caribe or piraya,4 to 6 weeks,"Rivers, floodplains, lakes and reservoirs",Omnivore,Unknown,Unknown,Piranha,Unkown,Unknown,Generally found in fast-flowing streams!,Unknown,GreyRedBlackMulti-colored,Scales,-3 mph,10 years,Up to 3 to 7 pounds,6 to 8 inches average,Unknown,Unknown,Unknown,"Dolphins, crocodiles, birds, turtles, humans",Characids,Unknown,Rounded head and a single row and triangular teeth,Unknown,Unknown,5000.0,Unknown,Unknown,"Insects, carrion, fish, crustaceans, worms",Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6.5 and 7.8,Unknown,Unknown,1,0,0,2.5,17.5
Porbeagle Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna nasus,"Bony fish, squid, shell fish, and sharks",Unknown,Solitary,Unknown,Overfishing,"The massive, blade-like teeth","Atlantic Mackerel Shark, Bottle-nosed Shark, and Blue Dog",8 to 9 months,Oceans,Carnivore,Unknown,Unknown,Porbeagle Shark,1.0,Unknown,Unknown,Unknown,GreyBlueWhite,Rough,20 mph,Unknown,Up to 500lbs,1.5-3.6m (5-12ft),Unknown,Unknown,Unknown,Humans,Shark,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,112.5,255
Pufferfish,Ocean,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Unknown,Tetraodontidae,Unknown,Unknown,Solitary,unknown,habitat loss,inflatable air sack,"Blowfish, balloonfish, swellfish",4-7 days,Tropics,Carnivore,Unknown,Unknown,Pufferfish,Unkown,Unknown,The second most poisonous creature in the world!,Unknown,BrownGreyYellowBlueWhite,Spikes,Unknown,10 years,20-30 lbs,1 inch - 2 feet,Unknown,Unknown,Unknown,"Humans, Sharks, Large Fish",Tetraodontidae,Unknown,Inflatable body and sharp poisonous spikes,Unknown,Unknown,6.0,Unknown,Unknown,"algae, invertebrates, shellfish",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,5.7 - 6.4,Unknown,Unknown,1,0,0,11,Unknown
Red-Lipped Batfish,South-America,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Ogcocephalus,Ogcocephalus darwini,"Smaller fish, shrimp, mollusks, worms, crabs",Unknown,Solitary,Unknown,Climate change,Its red lips,Galapagos batfish,Unknown,"Reef, soft bottom of the ocean near the shore",Carnivore,Unknown,Unknown,Red-lipped batfish,2.0,Unknown,Unknown,Unknown,GreyRedWhiteLight-Brown,Scales,Unknown,Up to 12 years,Less than 2 pounds,8 inches,Unknown,Unknown,Unknown,None,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.0 to 8.5,Unknown,Unknown,1,0,0,Unknown,20
Redtail Catfish,South-America,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Phractocephalus,Phractocephalus hemioliopterus,"Fish, worms, crabs, shrimp, insects",Unknown,Solitary,Unknown,Humans,Red fins,Unknown,4 to 5 days,"Rivers, streams",Carnivore,Unknown,Unknown,Redtailed catfish,1.0,Unknown,Unknown,Unknown,BrownRedBlack,Scales,Unknown,10 to 15 years,40 to 90 pounds,3 to 6 feet,Unknown,Unknown,Unknown,Humans,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,29.25,137
Reef Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Unknown,Unknown,"Bony fish, octopus, squid, rays and stingrays, sea lions, marine iguanas, trash, shrimp and crabs",Unknown,Solitary/Group,"Tens of thousands, but populations are declining","Habitat destruction, pollution, overfishing",Their beauty,"Blunt head shark, light-tip shark, whitetip shark, reef whitetip shark, blacktip shark, black-finned shark, blackfin reef shark, reef blacktip shark, guliman, black-vee whaler, bronze whaler, Fowler's whaler shark, graceful shark, graceful whaler shark, school shark, longnose blacktail shark, shortnose blacktail shark",7 to 14 months,"Coral reefs, lagoons, mangroves, grassy sea bed",Carnivore,Unknown,Unknown,Reef shark,5.0,Unknown,Unknown,Unknown,GreyWhiteGrey-Brown,Rough,31 mph,13 to 25 years,30 to 430 pounds,5.2 to 11 feet in length,Unknown,Unknown,Unknown,"Humans, other sharks",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1,Unknown,Unknown,1,0,0,103.5,246
Ribbon Eel,Africa,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,Rhinomuraena quaesita," Crustaceans, small fish",Unknown,Solitary,unknown,Caught as exotic pets,Brightly colored body,"Ribbon moray, Leaf-nosed moray, Bernis eel",unknown,coral reefs,Carnivore,Unknown,Unknown,Eel,223.0,Unknown,Unknown,Unknown,YellowBlueBlack,Skin,Unknown,up to 20 years,Unknown,Unknown,Unknown,Unknown,Unknown,"Large fish, sea birds",Anguilliformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4,Unknown,Unknown,1,0,0,Unknown,Unknown
Ribbon Eel,Asia,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,Rhinomuraena quaesita," Crustaceans, small fish",Unknown,Solitary,unknown,Caught as exotic pets,Brightly colored body,"Ribbon moray, Leaf-nosed moray, Bernis eel",unknown,coral reefs,Carnivore,Unknown,Unknown,Eel,223.0,Unknown,Unknown,Unknown,YellowBlueBlack,Skin,Unknown,up to 20 years,Unknown,Unknown,Unknown,Unknown,Unknown,"Large fish, sea birds",Anguilliformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4,Unknown,Unknown,1,0,0,Unknown,Unknown
Ribbon Eel,Oceania,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,Rhinomuraena quaesita," Crustaceans, small fish",Unknown,Solitary,unknown,Caught as exotic pets,Brightly colored body,"Ribbon moray, Leaf-nosed moray, Bernis eel",unknown,coral reefs,Carnivore,Unknown,Unknown,Eel,223.0,Unknown,Unknown,Unknown,YellowBlueBlack,Skin,Unknown,up to 20 years,Unknown,Unknown,Unknown,Unknown,Unknown,"Large fish, sea birds",Anguilliformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4,Unknown,Unknown,1,0,0,Unknown,Unknown
Rock Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus,Unknown,Unknown,Solitary,Unknown,Predators and commercial fishing.,large brown-black claws with lighter-colored tips,Unknown,6-8 weeks,"Near rocks, tide pools, and rocky marine areas.",Omnivore,Unknown,Unknown,red rock crab,1.0,Unknown,Unknown,Unknown,Red,Shell,Unknown,Up to 8 years,Approximately 13 ounces,Unknown,Unknown,Unknown,Unknown,"Sand and kelp bass, other fish, seabirds, and sea otters.",Decapod,Approximately 4 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Worms, clams, mussels, other crabs, other invertebrates, and algae.",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.36,Unknown
Rockfish,Ocean,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Unknown,Unknown,Unknown,"Shrimp, crab, and greenlings",Unknown,School,More than 400 million fishes,Unknown,Vibrant colors,Unknown,Can be several days to several months,"Bering Sea, North Pacific, and the Aleutian Islands",Omnivore,Unknown,Unknown,Rockfish,100.0,Unknown,Unknown,Unknown,YellowRedBlackGreenOrange,Scales,Unknown,Up to 120 years,770 grams to 5.3 Kgs,"8 to 40 inches, up to three feet",Unknown,Unknown,Unknown,"Harbor seals, salmonids, and lingcod",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,"Shrimp, crab, and greenlings",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,3,60
Salmon,North-America,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Unknown,Salmonidae,"Worms, squid, crustaceans, and other fish",Unknown,Solitary,Millions,Habitat change,The physical transformation in spawning season,Unknown,Unknown,"Open seas, lakes, or streams",Carnivore,Unknown,Unknown,Salmon,8.0,Unknown,Unknown,Unknown,BrownRedBlueGreenPurpleSilver,Scales,Unknown,Up to 7 years,23 lbs,58 inches,Unknown,Unknown,Unknown,"Bears, seals, killer whales, sharks, otters, kingfishers, eagles, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,10,Unknown
Salmon,Ocean,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Unknown,Salmonidae,"Worms, squid, crustaceans, and other fish",Unknown,Solitary,Millions,Habitat change,The physical transformation in spawning season,Unknown,Unknown,"Open seas, lakes, or streams",Carnivore,Unknown,Unknown,Salmon,8.0,Unknown,Unknown,Unknown,BrownRedBlueGreenPurpleSilver,Scales,Unknown,Up to 7 years,23 lbs,58 inches,Unknown,Unknown,Unknown,"Bears, seals, killer whales, sharks, otters, kingfishers, eagles, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,10,Unknown
Salmon,South-America,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Unknown,Salmonidae,"Worms, squid, crustaceans, and other fish",Unknown,Solitary,Millions,Habitat change,The physical transformation in spawning season,Unknown,Unknown,"Open seas, lakes, or streams",Carnivore,Unknown,Unknown,Salmon,8.0,Unknown,Unknown,Unknown,BrownRedBlueGreenPurpleSilver,Scales,Unknown,Up to 7 years,23 lbs,58 inches,Unknown,Unknown,Unknown,"Bears, seals, killer whales, sharks, otters, kingfishers, eagles, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,10,Unknown
Salmon Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna ditropis,fish,Unknown,Solitary,unknown,humans,"short snout, two keels",Pacific Porbeagle,9 months,"marine, ocean",Carnivore,Unknown,Unknown,Salmon Shark,1.0,Unknown,Unknown,Unknown,GreyWhite,Plate-like scales,50 mph,20-27 years,210lbs-660lbs,1.8m - 3m (6ft - 10ft),Unknown,Unknown,Unknown,"humans, other sharks",fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,195,240
Sand Crab,Africa,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,Asia,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,Central-America,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,Eurasia,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,Europe,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,North-America,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,Oceania,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Crab,South-America,Animalia,Arthropoda,Malacostraca,Decapoda,Unknown,Unknown,Unknown,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,Unknown,Unknown,Sand Crab,Unkown,Worldwide,Unknown,Unknown,BrownGrey,Exoskeleton,Unknown,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,Unknown,"Up to 45,000 eggs",Fishes and birds,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.5,3.5
Sand Tiger Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,Unknown,Unknown,"Bony fish, other sharks, crustaceans, squid, skates and rays",Unknown,Solitary/Group,"Unknown, but its population decreased by 20 percent in just the last decade due to overfishing.",Humans,It gulps air to keep buoyant.,"spotted ragged-tooth shark, blue-nurse sand tiger, grey nurse shark, spotted sand tiger shark, chien de mer, dogfish shark, slender-tooth shark, magonga, requin taureau, ground shark",Eight to twelve months,Shallow tropical and temperate waters close to the shore,Carnivore,Unknown,Unknown,Sand tiger shark,4.0,Unknown,Unknown,Unknown,Grey-Brown,Rough,0.87 mph,13 to 35 years,110 to 660.79 pounds,6.6 to 10.5 feet,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,173,260
Sardines,Ocean,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Unknown,Unknown,Unknown,Unknown,School,"Pacific Sardine population is measured at 27,547 metric tons",Overfishing as a food source,Silver color and one small dorsal fin,"Pilchard, Sardina",Eggs hatch in three days,Saltwater oceans and seas around the world,Omnivore,Unknown,Unknown,"European Pilchard, Pacific Sardine, South American Pilchard",21.0,Unknown,Unknown,Unknown,Silver,Scales,Unknown,Up to 13 years,3 ounces to 7 pounds,6 to 12 inches,Unknown,Unknown,Unknown,"Dolphins, seals, penguins, sharks, terns, pelicans",Ray-finned fish (Actinopterygii),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Zooplankton and Phytoplankton,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.6,18.75
Sawfish,Ocean,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Pristidae,Unknown,Unknown,fish and crustaceans,Unknown,Solitary,Unknown,Poaching,Ridged rostrum,Carpenter sharks,12 months,Coastal,Carnivore,Unknown,Unknown,Sawfish,5.0,Unknown,Unknown,Unknown,BrownGrey,Scales,Unknown,30 years,"500 - 1,300 lbs",18 - 25 ft,Unknown,Unknown,Unknown,"Crocodiles, sharks, and dolphins",rhinopristoform,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,405,655
Scorpion Fish,Ocean,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Unknown,Scorpaenidae,"Coral reef, snails, and small fishes",Unknown,Solitary,Not known,"Sharks, rays, and large snappers",Venom mucous covered sharp spines,Unknown,3 to 18 months,"Indian Ocean, Pacific Ocean, and Indonesia",Omnivore,Unknown,Unknown,Scorpionfish,198.0,Unknown,There are more than 200 recognised species!,Unknown,BrownYellowRedOrange,Scales,Unknown,15 years,3.4 pounds,8 inches to 20 inches,Unknown,Unknown,Unknown,"Sharks, snappers, and rays",Fish,Unknown,Unknown,Unknown,Unknown,6000.0,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,"Coral reefs, small fishes, snails",Unknown,Unknown,8.1 - 8.4,Unknown,Unknown,1,0,0,1.53,35
