name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Pentatrocha,Pentatrocha gigantea,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Beauchampia,Beauchampia crucigera,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Beauchampia,Beauchampia crucigera,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Octotrocha,Octotrocha speciosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus hippocrepis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus hippocrepis,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus deltaicus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus exiguus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus coenobasis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus natans,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus dossuarius,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilopsis,Conochilopsis causeyae,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Anchitestudinella,Anchitestudinella mekongensis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella clypeata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella patina,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella patina,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella patina,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella truncata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella parva,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,Testudinella parva,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Pompholyx,Pompholyx sulcata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Pompholyx,Pompholyx complanata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Testudinellidae,Pompholyx,Pompholyx triloba,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca balatonica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca lettevalli,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca torquilobata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca bulbosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca monoceros,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca undulata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca coronetta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca coronetta,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca cucullata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca paradoxa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca discophora,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca pelagica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca pelagica,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca pelagica,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca edmondsoni,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca quadrinodosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca quadrinodosa,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ferox,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca sessilis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca heptabrachiata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca stephanochaeta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca atrochoides,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca thunmarki,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca minuta,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca trilobata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca campanulata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca campanulata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca mutabilis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca wiszniewskii,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca crateriformis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ornata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ornata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca edentata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca edentata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca quadrilobata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca evansonii,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca riverai,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca annulata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca judayi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca tenuilobata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca tenuilobata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca bilfingeri,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca calva,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca libera,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca trifidlobata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca calva,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca moselii,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca vargai,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca epizootica,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca rasmae,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca spinata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ambigua,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Stephanoceros,Stephanoceros fimbriatus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Acyclus,Acyclus trilobus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Acyclus,Acyclus inquietus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Atrochus,Atrochus tentaculatus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Cupelopagis,Cupelopagis vorax,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Cupelopagis,Cupelopagis vorax,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta tuberculosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta gracilis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta steineri,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta longicornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta vaga,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta ricciae,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta grandis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta glauca,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta oculata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta oculata,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta bartosi,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta elongata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta barbata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta cuneata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta acuticornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Bradyscela,Bradyscela granulosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Bradyscela,Bradyscela clauda,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra similis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra triangularis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra alpium,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra humerosa,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra proxima,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra bovicornis,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra hystrix,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra reticulata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra sulcata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra africana,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra brycei,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra brycei,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra costata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra intermedia,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra lineata,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Didymodactylos,Didymodactylos carnosus,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria curtipes,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria laticeps,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria tardigrada,,,,,,,,,['FRESHWATER'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria tardigrada,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria tardigrada,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
