name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Maine Coon,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Coon Cat, Maine Cat, Maine Shag, American Longhair, American Coon Cat, American Forest Cat",Unknown,Unknown,Omnivore,5,Unknown,Gentle Giant,Unkown,Unknown,"Folklore says it's half cat, half raccoon!",Longhair,BrownRedBlueBlackWhiteGoldCreamSilver,Hair,Unknown,9-13 years,"8-12lbs, up to 15lbs for females and 25lbs for males",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Intelligent, loving and affectionate",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Cesky Fousek,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Cesky Fousek,Unkown,Unknown,An affectionate hunting dog!,Gun Dog,Unknown,Hair,Unknown,15 years,34kg (75lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura intermedia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Limnias,Limnias ceratophylli,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Bernese Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlackWhiteTan,Hair,Unknown,10 - 12 years,110 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Affectionate and good-natured,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Banjo Catfish,['South-America'],Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Solitary,Unknown,Water pollution, Banjo-shaped body,"guitarrita catfish, banjo pleco, burrowing catfish", 36-48 hours after fertilization of the eggs,"Amazon river basin, South American streams and ponds",Carnivore,Unknown,Unknown,Unknown,40.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Larger fish, birds",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown," Earthworms, bloodworms, tubifex",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, 36-48 hours after fertilization of the eggs,Unknown,
Frigatebird,['Ocean'],Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,Fregata,Fregata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical coasts and islands,Carnivore,Unknown,Colony,Unknown,Unkown,Unknown,Found inhabiting tropical islands and coasts!,Unknown,BrownRedBlackWhite,Feathers,9 mph,15 - 25 years,0.9kg - 1.9kg (1.9lbs - 4.2lbs),Unknown,Unknown,Unknown,Unknown,"Humans, Rats, Cats",Bird,65cm - 100cm (25in - 39in),Large wingspan and enlarged red throat of the male,Unknown,Unknown,150cm - 250cm (59in - 98in),Unknown,Unknown,1.0,Unknown,Unknown,"Fish, Crab, Squid",Unknown,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,
Emperor Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,"Fish, Krill, Squid",Chick,Colony,"200,000 breeding pairs",Global warming,Bright yellow feathers on neck and ears,Unknown,Unknown,Compact sea-ice and ocean,Carnivore,Unknown,Diurnal,Emperor Penguin,1.0,Antarctica,The world's largest species of penguin!,Bird,YellowBlackWhiteOrange,Feathers,15 mph,15 - 50 years,22kg - 45kg (49lbs - 99lbs),Unknown,3 - 8 years,Unknown,Unknown,"Southern Giant Petrol, Leopard Seal, Killer Whale",Unknown,100cm - 120cm (39in - 47in),Unknown,Unknown,Unknown,76cm - 89cm (30in - 35in),60 - 70 days,5 - 6 months,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
European Polecat,"['Africa', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,"Rodents, rabbits, lizards",kit,Solitary,Unknown,predators,Mask-like face markings,"Black polecat, western polecat, fitch",42 days,"Wetlands, marshes, coastal cliffs",Carnivore,Unknown,Unknown,European polecat,1.0,"Europe, North Africa, Asia",Unknown,solitary,RedBlackSilver,Fur,23 mph,five to 14 years,two to three pounds,one to 1 ½ feet,one year,three months,three to seven,Unknown,Mustelid,five to six inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Stabyhoun,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Stabij, Stabijhoun, Fryske Stabij, Beike, Dutch Stabyhoun, Stabij, Frisian Pointer",Unknown,Unknown,Omnivore,Unknown,Unknown,Stabyhoun,Unkown,Unknown,Unknown,Unknown,BlackWhiteOrangeChocolate,Hair,Unknown,12 to 15 years,55lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Gentle, sensitive, and active",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
African Bullfrog,['Africa'],Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,Unknown,"Tadpole, polliwog, larva",Solitary,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",Unknown,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,Unknown,Unknown,African bullfrog,1.0,Sub-Saharan Africa,Unknown,Unknown,YellowCreamOliveLight-Brown,Permeable,Unknown,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,Unknown,As many as 4000 eggs laid at a time,Humans,Amphibian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Herring,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Unknown,"Zooplankton, phytoplankton",Unknown,School,Variable and depending on species,Overfishing,Huge schools,"Silver darlings, silver of the sea",11-40 days depending on water temperature,Temperate waters,Carnivore,Unknown,Unknown,Herring,200.0,Unknown,Unknown,Unknown,Silver,Scales,-3 mph,8-22 years depending on species and location,0.41-1.05kg (0.90-2.3lb),10.5-60cm (4.1-23.6in),Unknown,Unknown,Unknown,"Seabirds, marine mammals, predatory fish, fishermen","Vertebrate, Clupeoid",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Icelandic Sheepdog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,puppy,Unknown,Unknown,Unknown,very bushy tail,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreyFawnRedBlackWhiteGoldTanCreamChocolate,Hair,21 mph,12-14 years,Unknown,Unknown,Unknown,Unknown,4-8 puppies,Unknown,mammal,Unknown,Unknown,"Playful, affectionate, and curious",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Iceland,Unknown,Unknown,Unknown,
Hagfish,['Ocean'],Animalia,Chordata,Myxini,Myxiniformes,Myxinidae,Unknown,Unknown,Bottom-dwelling invertebrates,Unknown,Solitary,Unknown,Harvesting for leather and food,Slime,"Slime eel, slimy eel",Unknown,Every ocean,Carnivore,Unknown,Unknown,Hagfish,82.0,Unknown,Unknown,Unknown,GreyPink,Smooth,Unknown,40 years,0.85-1.4 kg (1.8-3.1 lb),4cm (1.6in)-81.28cm (32in),Unknown,Unknown,Unknown,"Birds, mammals",Vermiform,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Corkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,FawnRedBlueMulti-colored,Hair,Unknown,11 to 15 years,20 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, intelligent, and sensitive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia tentans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Basenji Dog,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,5,Unknown,Basenji Dog,Unkown,Unknown,"Alert, affectionate and energetic!",Unknown,BrownRedBlackWhiteTanBrindle,Hair,Unknown,12-14 years,"24, lbs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Loyal, stubborn, and affectionate",Should be trained from an early age as their independent nature can make them stubborn,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Chimpanzee,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,"Fruits, Seeds, Insects",Infant,Group,"100,000 - 200,000",Habitat loss,Dexterous hands and feet and complex communication,Common Chimpanzee,8 months,Tropical forest and woody savanna,Omnivore,1,Diurnal,Chimpanzee,2.0,Western and Central Africa,Has 32 teeth including fang-like canines!,Mammal,BrownBlack,Hair,25 mph,50 - 60 years,26kg - 70kg (57lbs - 154lbs),Unknown,13 - 16 years,5 - 6 years,Unknown,"Leopards, Snakes, Humans",Unknown,1m - 1.7m (3.25ft - 5.5ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Teuthida,Oegopsina,Unknown,Teuthida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cooler and temperate waters,Carnivore,5,Solitary,Unknown,Unkown,Unknown,Some species are known to have 10 arms!,Unknown,BrownGreyBlackWhite,Smooth,18 mph,5-30 years,"0.3-500kg (0.6-1,102lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Seal, Whales",Cephalopod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Crabs, Shrimp",Unknown,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,
Giant Armadillo,['South-America'],Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Priodontes,Priodontes maximus,"Ants, termites, worms",Pup,Solitary,"Unknown, but it is declining.","Humans, who destroy their habitat and kill them",Its size,"Tatou, ocarro, cachicamo, pejichi, tatú carreta, cabazú",122 days,"Rainforests, savannas, dry and semiarid woods, floodplains in Brazil, other places where there’s a steady supply of termites",Carnivore,Unknown,Unknown,Giant armadillo,1.0,South America,Unknown,None; solitary,GreyBlack,Plates,30 mph,12 to 15 years,Between 41.19 and 71.15 pounds though much larger individuals have been found,Between 32.76 and 37.8 inches,9 to 12 months,6 months,1,"Humans, pumas, jaguars",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Alligator Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,Unknown,Unknown,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,Unknown,Unknown,Alligator Gar,1.0,Unknown,Unknown,Unknown,BrownGreyYellowWhiteGreen,Scales,Unknown,About 50 years,Up to 350lbs,Up to 3m (10ft),Unknown,Unknown,Unknown,Humans and alligators,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, turtles, birds, and mammals",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
White Tiger,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris tigris,"Deer, Cattle, Wild Boar",Cub,Solitary,0 in wild,Habitat loss,"White fur with bright, blue eyes",White Bengal Tiger,103 days,Dense jungle and mangrove swamp,Carnivore,3,Diurnal,White Tiger,1.0,Indian subcontinent,None have been seen in the wild for 50 years!,Mammal,BrownBlackWhiteOrange,Fur,60 mph,10 - 20 years,140kg - 300kg (309lbs - 660lbs),2.4m - 3.3m (6.8ft - 11ft),3 - 4 years,6 months,Unknown,Human,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Glass Frog,['Central-America'],Animalia,Chordata,Amphibia,Anura,Centrolenidae,Unknown,Unknown,Unknown,tadpoles,Solitary/Group,Unknown number of thousands,Rainforest deforestation,Moves by saltation (bipedal jumping),"Leaf frog, tree frog",Two weeks,"Arboreal, tropical mountainous, high montane streams",Carnivore,Unknown,Unknown,Glass frog,Unkown,Central and South America,Unknown,Communal,Green,Permeable,Unknown,10 to 14 years,5 to 14 grams (0.2 to 0.5 ounces),3 to7.5 cm (1.2 to 3.0 inches),One year,Larval tadpole stage is up to 10 months,18 to 30 eggs,"Birds, snakes, and small mammals. Frog flies attack the eggs.",Amphibian,1 to 2 cm (0.4 to 0.8 inches),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Small insects and other smaller frogs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Redtail Catfish,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Phractocephalus,Phractocephalus hemioliopterus,"Fish, worms, crabs, shrimp, insects",Unknown,Solitary,Unknown,Humans,Red fins,Unknown,4 to 5 days,"Rivers, streams",Carnivore,Unknown,Unknown,Redtailed catfish,1.0,Unknown,Unknown,Unknown,BrownRedBlack,Scales,Unknown,10 to 15 years,40 to 90 pounds,3 to 6 feet,Unknown,Unknown,Unknown,Humans,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Rinkhals Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus,"Frogs, toads, rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,20-35 live snakelets,Unknown,Rinkhals,Unkown,Unknown,Unknown,Unknown,YellowBlackWhite,Unknown,Unknown,20-25 years,Unknown,3ft-3.5 ft,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Monte Iberia Eleuth,['Central-America'],Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,Eleutherodactylus iberia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Water around Mount Iberia,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,The smallest frog in the Northern Hemisphere!,Unknown,BrownYellowBlackWhite,Permeable,5 mph,1 - 3 years,1.5g - 2g (0.05oz - 0.07oz),9.6mm - 9.8mm (0.37in - 0.38in),Unknown,Unknown,Unknown,"Fish, Toads, Birds",Amphibian,Unknown,Tiny body size with bright yellow stripes,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,"Insects, Moths, Spiders",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Sea Lion,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Otariidae,Unknown,Otariidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coastal waters and rocky shorelines,Omnivore,1,Herd,Unknown,Unkown,Unknown,It's flippers allow it to walk on the land,Unknown,BrownGreyTan,Fur,27 mph,15-22 years,"300-1,000kg (660-2,200lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Sharks, Killer Whale",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Crabs, Squid",Unknown,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela plicata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha decembullata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha serpens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Giant African Land Snail,['Africa'],Animalia,Mollusca,Gastropoda,Achatinoidea,Achatinidae,Achatina,Achatina fulica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Humid forest areas,Herbivore,200,Solitary,Unknown,Unkown,Unknown,The biggest snail species on land!,Unknown,BrownYellowRed,Hard Outer Shell,0.002 mph,3-10 years,250-450g (8.8-15.9oz),Unknown,Unknown,Unknown,Unknown,"Wild Cats, Birds, Humans",Mollusc,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Vegetables, Fruit, Flowers",Unknown,Unknown,Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,
Rat Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Rat Terrier,Unkown,Unknown,Unknown,Unknown,FawnBlueBlackWhiteChocolate,Hair,Unknown,15 - 18 years,35 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Terrier,Unknown,Unknown,Perceptive and stubborn,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta longicornis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Newfypoo,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackWhite,Hair,Unknown,10-12 years,150lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, docile, lovable, even-tempered, and kind.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Otostephanos,Otostephanos mundiformis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Adinetidae,Adineta,Adineta acuticornis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Yeti Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Kiwaidae,Kiwa,Unknown,Bacteria,Unknown,Colony,Unknown,Unknown,The white body and hairy claws,Unknown,Unknown,Pacific Ocean,Carnivore,Unknown,Unknown,Yeti Crab,4.0,Unknown,Unknown,Unknown,GreyWhite,Hard Shell,Unknown,Unknown,2lbs – 5lbs,15cm (6in),Unknown,Unknown,Unknown,Fish and octopuses,Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
